                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1626,                 3.0589,                  1.391,                0.89407,                 0.8644,                0.92295,                 0.6929,                 1.1455,                0.55671,                 1.0897,                      0,                      0,                      0
                      2,                 1.3391,                 2.9495,                 1.5336,                0.87242,                0.89322,                0.92571,                0.69301,                 1.1475,                0.55489,                 1.0892,             6.0095e-07,             6.0095e-07,             6.0095e-07
